,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
1805,Substance Painter 2018(동영상으로 배우는),지은이: 김권현,숨은원리,9791196014476,005.76,2019-03-29,http://image.kyobobook.co.kr/images/book/large/476/l9791196014476.jpg
1806,Visual C++ MFC 2017 윈도우 프로그래밍(예제로 배우는)(IT HOLIC 117),"지은이: 이아리,조경순",북스홀릭 publishing(북스홀릭 퍼블리싱),9791185123882,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/882/l9791185123882.jpg
1807,포토샵 CC 무작정 따라하기(2019),"민지영,앤미디어 [공]지음",길벗,9791160507195,005.565,2019-03-29,http://image.kyobobook.co.kr/images/book/large/195/l9791160507195.jpg
1808,스크래치 주니어로 시작하는 우리 아이 첫코딩 with QR코드,김경철,광문각,9788970939308,005.1,2019-03-29,http://image.kyobobook.co.kr/images/book/large/308/l9788970939308.jpg
1809,파이썬 웹 스크래핑 2/e,캐서린 자멀,에이콘,9791161752525,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/525/l9791161752525.jpg
1810,뼈 때리는 C,시바타 보요,프리렉,9788965402312,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/312/l9788965402312.jpg
1811,SQL이 보이는 그림책(개정증보판),"ANK co.,Ltd",성안당,9788931555875,005.755,2019-03-29,http://image.kyobobook.co.kr/images/book/large/875/l9788931555875.jpg
1812,실습과 그림으로 배우는 리눅스 구조,다케우치 사토루,한빛미디어,9791162241523,005.44,2019-03-29,http://image.kyobobook.co.kr/images/book/large/523/l9791162241523.jpg
1813,텐서플로로 시작하는 딥러닝 입문(데이터 사이언스 시리즈 26),아다치 하루카,위키북스,9791158391270,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/270/l9791158391270.jpg
1814,포토샵&일러스트레이터CC 기초+활용 실습(전문가의 스킬을 따라 배우는)(원리쏙쏙 IT 실전 워크북 시리즈 2,유윤자,아티오,9791188059669,005.565,2019-03-29,http://image.kyobobook.co.kr/images/book/large/669/l9791188059669.jpg
1815,C++로 개발하는 언리얼 엔진 4,윌리엄 셰리프,에이콘,9791161752716,005.11,2019-03-29,http://image.kyobobook.co.kr/images/book/large/716/l9791161752716.jpg
1816,안드로이드 프로그래밍(Android Studio를 활용한)(4판)(IT CookBook 249),우재남,한빛아카데미,9791156644385,005.11,2019-03-29,http://image.kyobobook.co.kr/images/book/large/385/l9791156644385.jpg
1817,가장 빨리 만나는 챗봇 프로그래밍 with Bot Framework,김영욱,길벗,9791160506754,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/754/l9791160506754.jpg
1818,코딩의 시작은 프로세싱으로,양재희,연두에디션,9791188831180,005.13,2019-03-29,http://image.kyobobook.co.kr/images/book/large/180/l9791188831180.jpg
1819,마이크로컨트롤러(따라 하면서 배우는)(IT COOKBOOK 374),허경용,한빛아카데미,9791156644392,004.2213,2019-03-29,http://image.kyobobook.co.kr/images/book/large/392/l9791156644392.jpg
1820,빅데이터 분석을 위한 스칼라와 스파크,레자울 카림,에이콘,9791161752402,005.76,2019-03-29,http://image.kyobobook.co.kr/images/book/large/402/l9791161752402.jpg
1821,파이썬 디자인 패턴(2판),체탄 기리다,에이콘,9791161752440,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/440/l9791161752440.jpg
1822,Windows Debugging(2판),최바울,에이콘,9791161752228,005.43,2019-03-29,http://image.kyobobook.co.kr/images/book/large/228/l9791161752228.jpg
1823,반응형 웹 실전 프로젝트 가이드(개정판)(애프터스킬 시리즈),김광수,아이콕스,9791186886908,004.76,2019-03-29,http://image.kyobobook.co.kr/images/book/large/908/l9791186886908.jpg
1824,Node.js 마이크로서비스 개발(실전!)(오픈소스&웹 시리즈 92),디오고 헤센데,위키북스,9791158391294,005.138,2019-03-29,http://image.kyobobook.co.kr/images/book/large/294/l9791158391294.jpg
1825,케라스 창시자의 딥러닝 with R(아이러브A.I. 15),프랑소와 숄레,Jpub(제이펍),9791188621460,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/460/l9791188621460.jpg
1826,딥러닝 모델 설계를 떠받치는 기술(위키북스 데이터 사이언스 시리즈 28),마이크 베르니코,위키북스,9791158391324,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/324/l9791158391324.jpg
1827,스프링 부트 2.0(2판),그렉 턴키스트,에이콘,9791161752624,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/624/l9791161752624.jpg
1828,PyTorch로 시작하는 딥러닝,비슈누 수브라마니안,에이콘,9791161752594,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/594/l9791161752594.jpg
1829,모두의 라즈베리파이 with 파이썬(개정판),이시이 모루나,길벗,9791160507027,004.16,2019-03-29,http://image.kyobobook.co.kr/images/book/large/027/l9791160507027.jpg
1830,실전! 딥러닝(데이터 사이언스 시리즈 29),오타 미쯔히사,위키북스,9791158391393,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/393/l9791158391393.jpg
1831,R 데이터 분석(데이터 분석 전문가를 위한),조민호,정보문화사,9788956747989,005.11,2019-03-29,http://image.kyobobook.co.kr/images/book/large/989/l9788956747989.jpg
1832,깐깐하게 배우는 파이썬. 3(프로그래밍 인사이트),제드 쇼,인사이트,9788966262311,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/311/l9788966262311.jpg
1833,파이썬으로 실무에 바로 적용하는 머신 러닝(데이터 과학),강봉주,에이콘,9791161752570,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/570/l9791161752570.jpg
1834,알고리즘 퍼즐 69(잠자는 코딩 브레인을 깨우는),마스이 토시카츠,프리렉,9788965402329,005.1,2019-03-29,http://image.kyobobook.co.kr/images/book/large/329/l9788965402329.jpg
1835,자연어 처리 쿡북 with 파이썬,크리슈나 바브사,에이콘,9791161752655,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/655/l9791161752655.jpg
1836,R을 활용한 데이터 과학(프로그래밍 인사이트),해들리 위컴,인사이트,9788966262359,005.54,2019-03-29,http://image.kyobobook.co.kr/images/book/large/359/l9788966262359.jpg
1837,안드로이드 with Kotlin 앱 프로그래밍 가이드(애프터스킬 시리즈),안귀정,아이콕스,9791186886892,005.11,2019-03-29,http://image.kyobobook.co.kr/images/book/large/892/l9791186886892.jpg
1838,아마존 웹 서비스 AWS Discovery Book,권영환,정보문화사,9788956748238,004.58,2019-03-29,http://image.kyobobook.co.kr/images/book/large/238/l9788956748238.jpg
1839,파이썬 클린 코드,마리아노 아나야,터닝포인트,9791161340463,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/463/l9791161340463.jpg
1840,Deep Learning Cookbook,Douwe Osinga,느린생각,9791187139218,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/218/l9791187139218.jpg
1841,텐서플로와 머신러닝으로 시작하는 자연어 처리(데이터 사이언스 시리즈 30),전창욱,위키북스,9791158391379,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/379/l9791158391379.jpg
1842,맛있는 디자인 프리미어 프로 & 애프터 이펙트 CC(2019),김덕영,한빛미디어,9791162241493,005.567,2019-03-29,http://image.kyobobook.co.kr/images/book/large/493/l9791162241493.jpg
1843,두렵지만 매력적인,제러미 베일렌슨,동아시아,9788962622652,004.783,2019-03-29,http://image.kyobobook.co.kr/images/book/large/652/l9788962622652.jpg
1844,파이썬 프로그래밍(데이터 과학을 위한)(IT CookBook 247),최성철,한빛아카데미,9791156644361,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/361/l9791156644361.jpg
1845,알고리즘(개정판 4판),로버트 세지윅,길벗,9791160506761,005.1,2019-03-29,http://image.kyobobook.co.kr/images/book/large/761/l9791160506761.jpg
1846,자바 웹을 다루는 기술,이병승,길벗,9791160506822,005.138,2019-03-29,http://image.kyobobook.co.kr/images/book/large/822/l9791160506822.jpg
1847,임베디드 리눅스 프로그래밍 완전정복(2판),크리스 시먼즈,에이콘,9791161752549,005.43,2019-03-29,http://image.kyobobook.co.kr/images/book/large/549/l9791161752549.jpg
1848,텐서플로를 활용한 머신러닝,니샨트 수클라,한빛미디어,9791162241073,004.73,2019-03-29,http://image.kyobobook.co.kr/images/book/large/073/l9791162241073.jpg
1849,Go를 활용한 머신 러닝,다니엘 화이트낵,에이콘,9791161752662,005.13,2019-03-29,http://image.kyobobook.co.kr/images/book/large/662/l9791161752662.jpg
1850,일래스틱서치 쿡북(3판)(오픈소스 프로그래밍),알베르토 파로,에이콘,9791161752587,004.584,2019-03-29,http://image.kyobobook.co.kr/images/book/large/587/l9791161752587.jpg
1851,깔끔한 파이썬 탄탄한 백엔드,송은우,비제이퍼블릭,9791186697757,005.133,2019-03-29,http://image.kyobobook.co.kr/images/book/large/757/l9791186697757.jpg
1852,머신 러닝을 활용한 컴퓨터 보안,클라렌스 치오,에이콘,9791161752495,004.61,2019-03-29,http://image.kyobobook.co.kr/images/book/large/495/l9791161752495.jpg
1853,빅데이터 분석과 활용(4차 산업혁명 현장 전문가가 알려주는),박인근,Jpub(제이펍),9791188621507,005.76,2019-03-29,http://image.kyobobook.co.kr/images/book/large/507/l9791188621507.jpg
1854,JSPStudy의 JSP & Servlet 웹 프로그래밍 입문 활용(2판),정동진,앤써북,9791185553481,005.138,2019-03-29,http://image.kyobobook.co.kr/images/book/large/481/l9791185553481.jpg
1855,일러스트레이터 CC 2019 =Illustrator creative cloud :무작정 따라하기 ,"문수민,이상호,앤미디어 지음",길벗,9791160507201,005.565,2019-03-25,http://image.kyobobook.co.kr/images/book/large/201/l9791160507201.jpg
1856,이것이 fedora 리눅스다 :실무 현장 그대로 배우는 서버 & 네트워크 ,우재남 지음,한빛미디어,9791162241394,005.44,2019-03-25,http://image.kyobobook.co.kr/images/book/large/394/l9791162241394.jpg
1857,시작하세요! Final Cut Pro X 10.4 :빠르크의 3분 강좌와 함께하는 파이널 컷 프로 X 영상 제작 ,박경인 지음,위키북스,9791158391003,005.567,2019-03-25,http://image.kyobobook.co.kr/images/book/large/003/l9791158391003.jpg
1858,(CentOS7으로) 리눅스 핵심 이해하기 =Understanding the linux core with CentOS7 ,"지은이: 정성재,배유미,신병웅,박정수,신준희,이광용",북스홀릭 Publishing(북스홀릭 퍼블리싱),9791162890004,005.44,2019-03-25,http://image.kyobobook.co.kr/images/book/large/004/l9791162890004.jpg
1859,좋은 선택 나쁜 선택 :합리적인 선택을 위한 데이터 바로 읽기 ,최희탁 지음,한빛미디어,9791162241400,005.76,2019-03-18,http://image.kyobobook.co.kr/images/book/large/400/l9791162241400.jpg
1860,함께 자라기 :애자일로 가는 길 ,김창준 지음,인사이트,9788966262335,005.1,2019-03-18,http://image.kyobobook.co.kr/images/book/large/335/l9788966262335.jpg
1861,(다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는) 파이썬 머신러닝 완벽 가이드 ,권철민 지음,위키북스,9791158391386,004.73,2019-03-18,http://image.kyobobook.co.kr/images/book/large/386/l9791158391386.jpg
1862,된다! 김메주의 유튜브 영상 만들기 =Gotcha! Kim Mejoo's making Youtube contents :예능 자막부터 비밀스러운 광고 수익까지! ,김혜주 지음,이지스퍼블리싱,9791188612956,004.59,2019-03-18,http://image.kyobobook.co.kr/images/book/large/956/l9791188612956.jpg
1863,나는 감이 아니라 데이터로 말한다:팩트의 홍수에서 진실을 골라내는 데이터 읽기의 기술,신현호 지음,한겨레출판,9791160402339,005.75,2019-03-11,http://image.kyobobook.co.kr/images/book/large/339/l9791160402339.jpg
1864,키바나 5.0 배우기 :키바나의 강력한 시각화 기능으로 대화형 대시보드 구축 ,"바할딘 아자미 지음 ;이재익,최중연 옮김",에이콘,9791161750729,005.76,2019-03-11,http://image.kyobobook.co.kr/images/book/large/729/l9791161750729.jpg
1865,보안 분석가의 사이버 침해사고 분석 전략,송대근 지음,에이콘,9788960779129,004.61,2019-03-11,http://image.kyobobook.co.kr/images/book/large/129/l9788960779129.jpg
1866,데이터 과학을 위한 통계 :데이터 분석에서 머신러닝까지 50가지 핵심 개념 ,"지은이: 피터 브루스,앤드루 브루스 ;옮긴이: 이준용",한빛미디어,9791162240984,005.7,2019-03-11,http://image.kyobobook.co.kr/images/book/large/984/l9791162240984.jpg
1867,그레이햇 C# :C#을 활용한 해커의 보안 도구 제작과 자동화 가이드 ,브랜든 페리 지음 ;구형준 옮김,에이콘,9791161751184,004.67,2019-03-11,http://image.kyobobook.co.kr/images/book/large/184/l9791161751184.jpg
1868,Splunk 앱 제작과 대시보드 개발 ,"지은이: 카일 스미스 ;옮긴이: 김영하 ;엮은이: 황영주,안윤경,오원영",에이콘,9788960778207,005.76,2019-03-11,http://image.kyobobook.co.kr/images/book/large/207/l9788960778207.jpg
1869,"초등학생이 알아야 할 숫자, 컴퓨터와 코딩 100가지","앨리스 제임스,에디 레이놀즈,미나 레이시,로즈 홀,알렉스 프리스 지음,페데리코 마리아니,파르코 폴로,쇼 닐슨 그림,배장열 옮김",어스본코리아,9791188454266,005.1,2019-03-11,http://image.kyobobook.co.kr/images/book/large/266/l9791188454266.jpg
1870,"라이노 6.0 시크릿노트 =Rhino 6.0 for architects, secret note :69가지 팁과 함께하는 건축인을 위한 안내서 ",한기준 저,대가,9788962852103,004.76,2019-03-11,http://image.kyobobook.co.kr/images/book/large/103/l9788962852103.jpg
1871,(나의 첫) 머신러닝/딥러닝 :파이썬으로 구현해보는 필수 머신러닝/딥러닝 알고리즘 ,허민석 지음,위키북스,9791158391300,004.73,2019-03-04,http://image.kyobobook.co.kr/images/book/large/300/l9791158391300.jpg
1872,Zbrush 게임 캐릭터 디자인 :최신 게임 제작 파이프라인에 따른 3ds Max와 substance painter 활용까지 ,김현 지음,프리렉,9788965402213,004.76,2019-03-04,http://image.kyobobook.co.kr/images/book/large/213/l9788965402213.jpg
1873,(CG 입문을 위한 3D 아티스트 임성훈의) ZBrush 4RX 매뉴얼 ,임성훈 지음,정보문화사,9788956746692,004.76,2019-03-04,http://image.kyobobook.co.kr/images/book/large/692/l9788956746692.jpg
1874,"수학의 아름다움 : AI, 빅데이터에 숨어 있는","우쥔 지음,한수희 옮김",세종서적,9788984077546,004.015,2019-03-04,http://image.kyobobook.co.kr/images/book/large/546/l9788984077546.jpg
1875,하이퍼레저 블록체인 개발 :패브릭과 컴포저로 탈중앙화 앱 dApp 만들기 ,"니틴 가워,뤼크 데로지에르,벤카트라만 라마크리슈나,페트르 노보트니,살만 바셋,앤서니 오다우드 지음 ;임지순,이대승 옮김",한빛미디어,9791162241462,004.6,2019-03-04,http://image.kyobobook.co.kr/images/book/large/462/l9791162241462.jpg
1876,"피처 엔지니어링, 제대로 시작하기 :데이터에서 효과적으로 정보를 추출하는 원리와 기법 ","앨리스 젱,아만다 카사리 지음 ;김우현 옮김",에이콘,9791161752426,005.7,2019-03-04,http://image.kyobobook.co.kr/images/book/large/426/l9791161752426.jpg
1877,지브러시 베이직 클래스=ZBrush basic class ,이동후 지음,Ruby Paper(루비페이퍼),9791186710401,004.76,2019-03-04,http://image.kyobobook.co.kr/images/book/large/401/l9791186710401.jpg
1878,성공하는 프로그래밍 공부법 :프로그래머의 길을 생각한다 ,"박재성,고종범,남재창,박지현 지음",로드북,9788997924417,005.104,2019-03-04,http://image.kyobobook.co.kr/images/book/large/417/l9788997924417.jpg
1879,수상한 인공지능 :AI는 세상을 어떻게 바꿀까? ,스테퍼니 맥퍼슨 지음 ;이가영 옮김,다른,9791156331933,004.73,2019-02-25,http://image.kyobobook.co.kr/images/book/large/933/l9791156331933.jpg
1880,모바일 UI/UX 디자인 실무 :iOS & 안드로이드 앱 디자인 완벽 가이드 ,지은이: 이영주,한빛아카데미,9791156644088,005.58,2019-02-25,http://image.kyobobook.co.kr/images/book/large/088/l9791156644088.jpg
1881,마이크로카피:UX 디자이너의 글쓰기,킨너렛 이프라 지음;변상희 옮김,에이콘,9791161751290,004.78,2019-02-25,http://image.kyobobook.co.kr/images/book/large/290/l9791161751290.jpg
1882,리팩토링 자바스크립트 Refactoring JavaScript,에반 버차드 지음;김건희 옮김,길벗,9791160505894,005.138,2019-02-25,http://image.kyobobook.co.kr/images/book/large/894/l9791160505894.jpg
1883,(기초부터 제대로 배우는)리액트 인 액션=React in Action ,마크 티에렌스 토마스 지음 ;장현희 옮김,Jpub(제이펍),9791188621491,005.11,2019-02-25,http://image.kyobobook.co.kr/images/book/large/491/l9791188621491.jpg
1884,데이터베이스 for beginner :mySQL 실습으로 기초부터 활용까지 한번에! ,김지연 지음,한빛아카데미(교재),9788998756369,005.75,2019-02-22,http://image.kyobobook.co.kr/images/book/large/369/l9788998756369.jpg
1885,가상 현실의 탄생(양장본 HardCover),재런 러니어,열린책들,9788932919423,004.099,2019-02-22,http://image.kyobobook.co.kr/images/book/large/423/l9788932919423.jpg
1886,마스터링 스프링 클라우드 :스프링 클라우드를 활용한 마이크로서비스 아키텍처 기반 클라우드 네이티브 시스템 구축 ,피요트르 민코프스키 지음 ;김민석 옮김,위키북스,9791158391218,005.133,2019-02-22,http://image.kyobobook.co.kr/images/book/large/218/l9791158391218.jpg
1887,{열혈코딩} 안드로이드 스튜디오로 만나는 코틀린 :안드로이드 스튜디오와 코틀린을 이용한 이지 코딩 ,박성완 지음,비제이퍼블릭,9791186697740,005.58,2019-02-22,http://image.kyobobook.co.kr/images/book/large/740/l9791186697740.jpg
1888,모바일 웹,김병호,홍릉과학출판사,9791156005995,005.118,2019-02-22,http://image.kyobobook.co.kr/images/book/large/995/l9791156005995.jpg
1889,(스마트한 생활을 위한) 엑셀 2010,"김현진,이종선 공저",시대인,9791125415282,005.53,2019-02-22,http://image.kyobobook.co.kr/images/book/large/282/l9791125415282.jpg
1890,(스마트한 생활을 위한) 한글 2010 활용 ,집필: IT교재연구팀,시대인,9791125431534,005.51,2019-02-22,http://image.kyobobook.co.kr/images/book/large/534/l9791125431534.jpg
1891,데이터베이스 for beginner :mySQL 실습으로 기초부터 활용까지 한번에! ,우재남 지음,한빛아카데미,9791156644354,005.75,2019-02-22,http://image.kyobobook.co.kr/images/book/large/354/l9791156644354.jpg
1892,데이터베이스 개론 =Introduction to database ,김연희 지음,한빛아카데미,9791156644316,005.75,2019-02-22,http://image.kyobobook.co.kr/images/book/large/316/l9791156644316.jpg
1893,개념있는 JAVA,시바타 보요(Shibata Bohyoh),Youngjin.com(영진닷컴),9788931459562,005.138,2019-02-22,http://image.kyobobook.co.kr/images/book/large/562/l9788931459562.jpg
1894,모두의 알고리즘 with 자바스크립트 =Algorithms for everyone :세상을 움직이는 기초 알고리즘 :즐거운 프로그래밍 경험 ,"스즈키 코이치 지음 ;김은철,유세라 옮김",길벗,9791160506808,005.1,2019-02-22,http://image.kyobobook.co.kr/images/book/large/808/l9791160506808.jpg
1895,엑셀로 배우는 딥러닝 :AI의 구조를 쉽게 이해할 수 있는 딥러닝 초(超)입문 ,"지은이: 와쿠이 요시유키,와쿠이 사다미 ;옮긴이: 권기태",BM성안당,9788931555738,004.73,2019-02-22,http://image.kyobobook.co.kr/images/book/large/738/l9788931555738.jpg
1896,모두의 파이썬X알고리즘 =Python & algorithms for everyone :누구나 쉽게 배우는 프로그래밍 기초 :즐거운 프로그래밍 경험 :합본호 ,이승찬 지음,길벗,9791160506631,005.133,2019-02-22,http://image.kyobobook.co.kr/images/book/large/631/l9791160506631.jpg
1897,포토샵 & 일러스트레이터(CC 2019)(된다!),박길현,이지스퍼블리싱,9791163030393,005.56,2019-02-22,http://image.kyobobook.co.kr/images/book/large/393/l9791163030393.jpg
1898,스프링 마이크로서비스 코딩 공작소 :빠른 개발과 배포로 사용자 요구에 신속하게 대응하자! ,존 카넬 지음 ;정성권 옮김,길벗,9791160506815,005.12,2019-02-22,http://image.kyobobook.co.kr/images/book/large/815/l9791160506815.jpg
1899,(실전활용!) 텐서플로 딥러닝 프로젝트 :10가지 실무 프로젝트로 배우는 텐서플로와 딥러닝 알고리즘 100% 활용법 ,"루카 마사론,알베르토 보세티,알렉세이 그리고리예프,아비? 타쿠르,라잘링가파 샨무가마니 지음 ;김정인 옮김",위키북스,9791158391232,004.73,2019-02-22,http://image.kyobobook.co.kr/images/book/large/232/l9791158391232.jpg
1900,파이썬과 OpenCV를 이용한 컴퓨터 비전 학습 :컴퓨터 비전 애플리케이션을 만들기 위한 강력한 OpenCV 3와 파이썬 활용하기 ,"알렉세이 스피쉐보이,알렉산드르 류브니코프 지음 ;테크 트랜스 그룹 T4 옮김",에이콘,9791161752396,005.133,2019-02-22,http://image.kyobobook.co.kr/images/book/large/396/l9791161752396.jpg
1901,된다! 맥북 & 아이맥 =Gotcha! Macbook & iMac :맥OS 모하비 판 ,"김기백,조영빈,이민호 지음",이지스퍼블리싱,9791163030379,004.15,2019-02-22,http://image.kyobobook.co.kr/images/book/large/379/l9791163030379.jpg
1902,3D 프린터(미래의 과학자와 공학자가 꼭 알아야 할 2),민연기,성신미디어,9791196063665,004.76,2019-02-22,http://image.kyobobook.co.kr/images/book/large/665/l9791196063665.jpg
1903,"PyTorch를 활용한 머신러닝, 딥러닝 철저 입문 :파이토치를 활용한 머신러닝, 딥러닝 알고리즘의 원리와 구현 ",코이즈미 사토시 지음 ;심효섭 옮김,위키북스,9791158391225,004.73,2019-02-22,http://image.kyobobook.co.kr/images/book/large/225/l9791158391225.jpg
1904,(파이썬 라이브러리로 배우는)딥러닝 입문과 응용,발렌티노 조카;지안마리오 스파카냐;다니엘 슬레이터;피터 로런츠 지음;이동금 옮김,Jpub(제이펍),9791188621354,004.73,2019-02-22,http://image.kyobobook.co.kr/images/book/large/354/l9791188621354.jpg
1905,기계는 어떻게 생각하고 학습하는가 :6인의 위대한 AI 석학이 조망하는 인공지능의 현재와 미래 ,"지은이: 뉴 사이언티스트,닉 보스트롬,넬로 크리스티아니니,존 그레이엄-커밍,피터 노빅,앤더스 샌드버그,토비 월시 ;옮긴이: 김정민",한빛미디어,9791162241387,004.73,2019-02-22,http://image.kyobobook.co.kr/images/book/large/387/l9791162241387.jpg
1906,(PyTorch를 활용한) 강화학습/심층강화학습 실전 입문 :파이토치로 익히는 기초 강화학습 및 심층강화학습 알고리즘의 원리와 구현 ,오가와 유타로 지음 ;심효섭 옮김,위키북스,9791158391287,004.73,2019-02-22,http://image.kyobobook.co.kr/images/book/large/287/l9791158391287.jpg
1907,(유니티 에반젤리스트의) 유니티 그래픽스 최적화 스타트업  ,오지현 저 ;정종필 감수,비엘북스,9791186573273,005.11,2019-02-22,http://image.kyobobook.co.kr/images/book/large/273/l9791186573273.jpg
1908,파이썬 코딩 도장:learn python the right way,남재윤 지음,길벗,9791160506181,005.133,2019-02-22,http://image.kyobobook.co.kr/images/book/large/181/l9791160506181.jpg
1909,(비됴클래스 하?의) 유튜브 동영상 편집 with 프리미어 프로 ,하지원 지음,한빛미디어,9791162241349,004.59,2019-02-22,http://image.kyobobook.co.kr/images/book/large/349/l9791162241349.jpg
1910,(컴퓨팅 사고력을 키워 주는) 놀이와 함께 온 코딩:놀면서 쉽게 배우는 컴퓨터 코딩의 기초 ,"김남희,김윤숙,류설희,류은숙,박소연,안선환,오은주,정은영 지음",지식과감성#,9791162753910,005.1,2019-02-22,http://image.kyobobook.co.kr/images/book/large/910/l9791162753910.jpg
1911,PySpark 배우기 :파이썬과 스파크 2.0으로 대용량 처리 애플리케이션 다루기 ,"토마스 드라바스,데니 리 지음 ;이진기 옮김",에이콘,9791161750705,005.76,2019-02-19,http://image.kyobobook.co.kr/images/book/large/705/l9791161750705.jpg
1912,일래스틱서치 고급 기능의 개념과 활용 :일래스틱서치 5를 활용한 유연하고 확장 가능한 검색 솔루션 개발 ,바디 딕시트 지음 ;김용환 옮김,에이콘,9791161750552,004.584,2019-02-19,http://image.kyobobook.co.kr/images/book/large/552/l9791161750552.jpg
1913,우아하게 앤서블 :현직 앤서블 강사가 직접 쓴 데브옵스의 모든 것 ,"조훈,김정민 지음",BJpublic(비제이퍼블릭),9791186697689,005.1,2019-02-19,http://image.kyobobook.co.kr/images/book/large/689/l9791186697689.jpg
1914,우분투 리눅스 기반의 IDS/IPS 설치와 운영 :스노트와 IPTables로 배우는 IDS/IPS ,"오동진,추다영 지음",에이콘,9791161751634,004.61,2019-02-19,http://image.kyobobook.co.kr/images/book/large/634/l9791161751634.jpg
1915,실전 게임 기초 AI 프로그래밍 :예제로 쉽게 배우는 게임 인공지능 프로그래밍 ,미카엘 다그라사 지음 ;금기진 옮김,에이콘,9791161751672,005.11,2019-02-19,http://image.kyobobook.co.kr/images/book/large/672/l9791161751672.jpg
1916,"(서비스 운영이 쉬워지는) AWS 인프라 구축 가이드 :서버 구축부터 배포, 모니터링, 관리 자동화, 데브옵스까지 ",김담형 지음,위키북스,9791158391317,004.588,2019-02-19,http://image.kyobobook.co.kr/images/book/large/317/l9791158391317.jpg
1917,(처음 프로그래밍을 시작하는 입문자의 눈높이에 맞춘) 생활코딩! PHP+MySQL :나의 첫 프로그래밍 교과서 learning school ,이고잉 지음,위키북스,9791158391348,005.138,2019-02-19,http://image.kyobobook.co.kr/images/book/large/348/l9791158391348.jpg
1918,(만만한) 실무 데이터 분석 with 엑셀 ,박혜정 지음,Youngjin.com(영진닷컴),9788931459630,005.53,2019-02-19,http://image.kyobobook.co.kr/images/book/large/630/l9788931459630.jpg
1919,마이크로소프트 봇 프레임워크 프로그래밍 :챗봇 구축을 향한 다층적 접근 ,조 마요 지음 ;김정인 옮김,Jpub(제이펍),9791188621286,004.73,2019-02-19,http://image.kyobobook.co.kr/images/book/large/286/l9791188621286.jpg
1920,"데이터 분석 플랫폼 구축과 활용 :Fluentd, Elasticsearch, Kibana를 사용한 로그 수집과 시각화 ","지은이: 스즈키 켄타,요시다 켄타로,오타니 준,미치이 ?스케 ;옮긴이: 하진일",터닝포인트,9791161340302,005.7,2019-02-19,http://image.kyobobook.co.kr/images/book/large/302/l9791161340302.jpg
1921,Excel 2016 :기본+실무완성 :기본기를 깨고 실무를 완성하자! ,지은이: 김경자,북스홀릭 publishing(북스홀릭 퍼블리싱),9791185123936,005.53077,2019-02-19,http://image.kyobobook.co.kr/images/book/large/936/l9791185123936.jpg
1922,패턴 인식과 머신 러닝 ,크리스토퍼 비숍 지음 ;김형진 옮김,Jpub(제이펍),9791188621255,004.73,2019-02-19,http://image.kyobobook.co.kr/images/book/large/255/l9791188621255.jpg
1923,파이썬 핵심 개발자들과의 인터뷰 :파이썬 커뮤니티 코어 개발자들이 말하는 파이썬의 과거 현재 그리고 미래 ,지은이: 마이크 드리스콜 ;옮긴이: 조인석,터닝포인트,9791161340371,005.133,2019-02-19,http://image.kyobobook.co.kr/images/book/large/371/l9791161340371.jpg
1924,"인문학도, 개발자되다 ",저자: 마르코,Youngjin.com(영진닷컴),9788931459593,004.04,2019-02-19,http://image.kyobobook.co.kr/images/book/large/593/l9788931459593.jpg
1925,슬기로운 파이썬 트릭 :짧고 흥미로운 코드로 배우는 파이썬 실용 코딩 ,댄 베이더 지음 ;전석환 옮김,인사이트,9788966262342,005.133,2019-02-19,http://image.kyobobook.co.kr/images/book/large/342/l9788966262342.jpg
1926,손에 잡히는 판다스 :주피터 노트북과 파이썬을 이용한 데이터 분석 ,문용준 지음,BJpublic(비제이퍼블릭),9791186697726,005.133,2019-02-19,http://image.kyobobook.co.kr/images/book/large/726/l9791186697726.jpg
1927,(처음 프로그래밍을 시작하는 입문자의 눈높이에 맞춘) 생활코딩! HTML+CSS+자바스크립트 :나의 첫 프로그래밍 교과서 learning school ,이고잉 지음,위키북스,9791158391331,005.118,2019-02-19,http://image.kyobobook.co.kr/images/book/large/331/l9791158391331.jpg
